angDist,match_file,id,aic_flare,chi_flare,dof_flare,red_flare,aic_gauss,chi_gauss,dof_gauss,red_gauss,exp_comp,perc_comp,fl_indx,equivdur,ra,dec,xpos,ypos,flare_time,end_time,flare_end_diff,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.012811,ztf_000638_zr_c01_q1_match_programid,21409,17.06812883291152,9.068128889518196,28,0.3238617460542213,38.31751606644919,30.317516380548454,28,1.0827684421624448,41138.24967677126,21.249387233537668,[37 38 39],334.27245812875196,289.1304624,23.7632839,1994.786,1299.993,58337.2439236,58338.3205093,1.0745717999961926,289.1304660986365,23.7632849974601,0.003,0.002,0,2022520651134468736,289.13046762436,0.0599,23.76326219517,0.0849,2.2650,0.1137,0.324,0.148,-5.296,0.188,0,1.51282e+03,1.99293e+00,17.738900,2.18786e+02,4.99399e+00,19.501339,2.12255e+03,1.37329e+01,16.444775,3.056564,,,0,,,,,
0.282549,ztf_000638_zr_c01_q1_match_programid,104863,25.825168344522314,17.825168143223465,25,0.7130067257289386,19.283820380760556,11.283820257133481,25,0.45135281028533925,0.03798082006226939,-6.541347963761758,[52 53 54],166.79079188612607,288.9161768,23.3876458,2646.082,2726.429,58338.2204861,58338.3205093,0.09444449999864446,288.9160913550092,23.3876488943802,0.006,0.004,0,2022504639486427392,288.91609026285,0.0966,23.38764586313,0.1738,0.4245,0.2256,-0.233,0.258,-0.704,0.379,0,6.69688e+02,1.02590e+00,18.623684,1.96746e+02,1.38176e+01,19.616625,6.94236e+02,6.63760e+00,17.658152,1.958473,,,0,,,,,
0.612429,ztf_000638_zr_c01_q1_match_programid,139658,56.794679673897235,48.79467898257227,28,1.7426671065204382,51.63735588481669,43.637355076358496,28,1.5584769670128034,0.0758754654992726,-5.157323789080543,[73 74 75],191.37536551890398,289.6145032,23.6632481,412.123,1605.35,58337.279294,58338.3205093,1.0393518999990192,289.6144417526751,23.6630875604050,0.003,0.003,0,2022559924312848000,289.61443286195,0.0680,23.66306683076,0.0916,-0.1260,0.1277,-1.891,0.173,-4.815,0.193,0,1.30594e+03,1.39498e+00,17.898560,4.54491e+02,1.32614e+01,18.707577,1.42715e+03,1.43607e+01,16.875746,1.831831,,,0,,,,,
0.090914,ztf_000638_zr_c01_q1_match_programid,1151,20.740315534229858,12.740315476837196,30,0.4246771825612399,17.093067092421506,9.093067076680923,30,0.3031022358893641,0.16143959663825058,-3.647248441808351,[1 2 3 4],56.68749099025291,288.9602912,23.2671329,2497.201,3080.414,58337.2173843,58337.3201968,0.10002320000057807,288.9602969563362,23.2671575939691,0.002,0.002,0,2022432621480970368,288.96029210519,0.0424,23.26714292972,0.0621,0.5255,0.0859,-1.035,0.111,-3.406,0.140,0,3.41793e+03,2.06773e+00,16.853960,1.16011e+03,6.32458e+00,17.690142,3.34555e+03,8.52933e+00,15.950752,1.739389,,,0,4273.00,,,,
0.339579,ztf_000638_zr_c01_q2_match_programid,37833,32.07381399189938,24.07381394824796,24,1.0030755811769982,89.58912076557998,81.58912029416256,24,3.3995466789234396,3.0852487028396006E12,57.5153067736806,[218 219 220 221],988.6611954386747,288.6824961,23.5133422,355.065,2289.557,58338.3084259,58338.3205093,0.009294000003137626,288.6824497167539,23.5132580054844,0.022,0.011,0,2022498278629298304,288.68247731237,0.2538,23.51328418354,0.4737,1.6219,0.5461,5.877,0.682,6.080,1.415,0,1.93269e+02,7.52657e-01,19.972963,5.70857e+01,9.90885e+00,20.960070,2.75999e+02,5.79122e+00,18.659650,2.300419,,,0,,,,,
0.602364,ztf_000638_zr_c01_q2_match_programid,89685,16.136044270890977,8.136044236186406,24,0.33900184317443355,17.12888055818594,9.128880490055955,24,0.38037002041899814,1.6428263516223118,0.9928362872949634,[140 141 142],52.850539265490596,288.3742397,23.6798927,1366.399,1731.118,58338.2375,58338.3205093,0.08103010000195354,288.3742334053117,23.6797254759974,0.017,0.009,0,2023257186457544448,288.37421103531,0.2122,23.67972303624,0.4449,1.8536,0.5449,-4.758,0.598,-0.567,1.123,1,4.98909e+02,1.68270e+00,18.943312,2.34947e+02,1.17968e+01,19.423965,6.17731e+02,1.03553e+01,17.784922,1.639044,,,0,,,,,
0.138847,ztf_000638_zr_c01_q2_match_programid,103907,14.488422433001585,6.488422435807457,27,0.24031194206694284,15.767307180962245,7.767307135891613,27,0.28767804207005976,1.8954236470183556,1.2788847479606602,[28 29 30],172.39722432725026,288.5751182,23.8025149,729.707,1209.244,58337.2351273,58338.3205093,1.0834723000007216,288.5751081036415,23.8025523461082,0.003,0.002,0,2023282578324921984,288.57511048750,0.0666,23.80252220214,0.0956,1.9896,0.1271,0.507,0.155,-7.001,0.201,0,1.10883e+03,1.25821e+00,18.076206,2.28595e+02,7.61187e+00,19.453722,1.36899e+03,7.81627e+00,16.920921,2.532801,,,0,,,,,
0.354262,ztf_000638_zr_c01_q2_match_programid,117690,38.40636166870972,30.40636159715338,23,1.3220157216153645,23.03501107388518,15.035011024184595,23,0.6536961314862867,4.5936047965443056E-4,-15.371350594824541,[137 138 139],237.5723314391832,288.7226764,23.6193163,226.576,1918.493,58338.2375,58338.3205093,0.08103010000195354,288.7225760673956,23.6192811848193,0.009,0.006,0,2022525667647799296,288.72255545939,0.1389,23.61924587071,0.2200,0.6571,0.2732,-4.385,0.363,-8.202,0.554,0,4.41715e+02,9.48763e-01,19.075510,1.48844e+02,5.59408e+00,19.919560,4.73307e+02,1.03751e+01,18.074064,1.845495,,,0,,,,,
0.340239,ztf_000638_zr_c01_q2_match_programid,23785,17.525646395271828,9.525646521226795,10,0.9525646521226795,13.95364226544486,5.953642338338354,10,0.5953642338338354,0.16762900167001374,-3.5720041298269685,[75 76 77],200.55248051832524,288.4942233,24.1416939,1028.618,1.607,58337.3109028,58338.3186458,1.005879600001208,288.4941795728048,24.1416082257581,0.004,0.004,0,2023309619424892800,288.49415111507,0.0952,24.14157548564,0.1424,0.3334,0.1928,-6.031,0.228,-7.604,0.281,0,7.22517e+02,1.08208e+00,18.541246,2.55352e+02,1.38295e+01,19.333542,7.32368e+02,1.84807e+01,17.600096,1.733446,,,0,,,,,
0.047952,ztf_000638_zr_c01_q3_match_programid,25853,22.611224276971285,14.611224346458254,9,1.623469371828695,21.874966992019285,13.874967088790418,9,1.5416630098656021,0.6920281517474347,-0.7362572849519999,[114 115 116],67.33028534673358,288.5544719,22.8609777,723.139,1467.841,58337.3174074,58338.3205093,1.0012500000011642,288.5544720856144,22.8609643810762,0.004,0.003,0,4520415115858768640,288.55446219196,0.0712,22.86095491066,0.0989,0.3336,0.1338,-2.117,0.190,-2.200,0.236,0,1.14319e+03,1.24741e+00,18.043072,4.22693e+02,6.61982e+00,18.786324,1.07604e+03,8.17365e+00,17.182348,1.603975,,,0,,,,,
