match_file,id,type,mintime,maxtime,ra,dec,equivdur
ztf_000436_zr_c01_q4_match_programid2.pytable,22863,sources,58347.2715856,58347.2738773,287.9419135,-5.8819797,-168.79438785106004
ztf_000436_zr_c01_q4_match_programid2.pytable,36347,sources,58348.3248032,58348.3266435,287.6951956,-6.114481,90.28288028562275
ztf_000436_zr_c01_q4_match_programid2.pytable,58076,sources,58347.2128009,58347.2160185,287.9094844,-5.7241474,-462.2780833978086
ztf_000436_zr_c01_q4_match_programid2.pytable,76710,sources,58348.3064236,58348.3082639,287.5285423,-6.1321794,465.3985158660203
ztf_000436_zr_c01_q4_match_programid2.pytable,78590,sources,58347.2128009,58347.2164815,287.412699,-6.1700184,390.88494181082945
ztf_000436_zr_c01_q4_match_programid2.pytable,95462,sources,58347.2128009,58347.2160185,287.9086758,-5.723842,59.313421054104566
ztf_000436_zr_c01_q4_match_programid2.pytable,101518,sources,58348.2793287,58348.2829977,287.2200768,-5.8971452,791.2103114367919
ztf_000436_zr_c01_q4_match_programid2.pytable,105005,sources,58348.2388426,58348.2420718,287.2378904,-5.9974733,291.6913673127726
ztf_000436_zr_c01_q4_match_programid2.pytable,110186,sources,58347.2775579,58347.2793981,287.2361259,-6.1499536,-157.44767683697665
ztf_000436_zr_c01_q4_match_programid2.pytable,121355,sources,58348.3068866,58348.3119329,287.9137844,-5.7044322,590.776743695103
ztf_000436_zr_c01_q4_match_programid2.pytable,128821,sources,58348.2935648,58348.2976968,287.8655567,-6.0358214,19472.820256999436
ztf_000436_zr_c01_q4_match_programid2.pytable,131717,sources,58347.2128009,58347.2178588,287.4100209,-6.1703541,-549.784766068294
ztf_000436_zr_c01_q4_match_programid2.pytable,132107,sources,58348.2517361,58348.2549769,287.9497109,-6.1882528,321.03765593701735
ztf_000436_zr_c01_q4_match_programid2.pytable,137570,sources,58347.2160185,58347.2178588,287.2971189,-5.6702214,1013.3222061896226
ztf_000436_zr_c01_q4_match_programid2.pytable,141260,sources,58348.3101042,58348.3123958,287.9631998,-5.9667082,265.9139889642545
ztf_000436_zr_c01_q4_match_programid2.pytable,142303,sources,58347.3087731,58347.3106134,287.631844,-6.0569081,-56.18879238493173
ztf_000436_zr_c01_q4_match_programid2.pytable,143652,sources,58347.2141898,58347.2160185,287.4020877,-6.1686508,171.21348549186203
ztf_000436_zr_c01_q4_match_programid2.pytable,148980,sources,58348.2406944,58348.2425231,287.940537,-5.9546353,130.44269342151358
ztf_000436_zr_c01_q4_match_programid2.pytable,149392,sources,58348.2328819,58348.2347222,287.8429365,-6.0152897,224.67731803002832
ztf_000436_zr_c01_q4_match_programid2.pytable,159977,sources,58347.2146412,58347.2178588,287.9064275,-6.2528585,315.9386442831942
ztf_000436_zr_c01_q4_match_programid2.pytable,20873,transients,58348.2310532,58348.2365625,288.0355746,-6.3506154,555.7974971715993
ztf_000436_zr_c01_q4_match_programid2.pytable,41663,transients,58348.3105556,58348.3123958,287.5242725,-6.3791835,325.8081434252672
