match_file,id,type,mintime,maxtime,ra,dec,equivdur
ztf_000436_zr_c04_q2_match_programid2.pytable,2928,sources,58348.2733681,58348.277037,281.3848921,-4.6633687,140851.52352940914
ztf_000436_zr_c04_q2_match_programid2.pytable,36812,sources,58348.3105556,58348.3123958,280.7374831,-4.6637287,1918.4856460925732
ztf_000436_zr_c04_q2_match_programid2.pytable,38194,sources,58348.3119329,58348.3142361,281.3365942,-4.7051437,163.91929598554037
ztf_000436_zr_c04_q2_match_programid2.pytable,72074,sources,58347.2146412,58347.2164815,281.1894894,-5.4048877,120.29362722663191
ztf_000436_zr_c04_q2_match_programid2.pytable,76806,sources,58348.3197454,58348.322963,281.2378812,-4.6660549,135.48239386735816
ztf_000436_zr_c04_q2_match_programid2.pytable,76812,sources,58348.3211227,58348.3234259,281.2361934,-4.666189,179.76344202876447
ztf_000436_zr_c04_q2_match_programid2.pytable,94167,sources,58348.2733681,58348.2751968,281.5809043,-5.0430751,273.37515543117553
ztf_000436_zr_c04_q2_match_programid2.pytable,96529,sources,58347.227037,58347.2288657,281.5045975,-5.0853396,1289.0892693374376
ztf_000436_zr_c04_q2_match_programid2.pytable,100165,sources,58347.295463,58347.2977662,280.8834514,-5.1459425,-109.35032784001083
ztf_000436_zr_c04_q2_match_programid2.pytable,101772,sources,58347.2826042,58347.2844444,281.1297135,-5.1749754,-334.3156113812132
ztf_000436_zr_c04_q2_match_programid2.pytable,110963,sources,58348.3197454,58348.3215856,281.2886096,-5.3616745,353.9099716545592
ztf_000436_zr_c04_q2_match_programid2.pytable,113439,sources,58347.2826042,58347.2844444,281.2279526,-5.4143599,-336.29991220479747
ztf_000436_zr_c04_q2_match_programid2.pytable,119007,sources,58347.2311574,58347.2329977,281.3881966,-4.7471597,363.9720344643517
ztf_000436_zr_c04_q2_match_programid2.pytable,134009,sources,58348.2715278,58348.2756597,281.5804481,-5.143196,320.4169374401055
ztf_000436_zr_c04_q2_match_programid2.pytable,145955,sources,58348.3068866,58348.3087269,281.2792422,-4.6643911,297.8706712297619
ztf_000436_zr_c04_q2_match_programid2.pytable,165661,sources,58347.3234606,58347.3253009,281.3266745,-4.875602,765.0649905999567
ztf_000436_zr_c04_q2_match_programid2.pytable,166466,sources,58348.2774884,58348.2793287,281.1836426,-4.9311224,367.69381434425463
ztf_000436_zr_c04_q2_match_programid2.pytable,170690,sources,58348.2457407,58348.2494444,281.4263256,-5.2234865,377.12312752251876
ztf_000436_zr_c04_q2_match_programid2.pytable,170708,sources,58348.2512731,58348.2554398,281.425934,-5.224533,876.8420076951802
ztf_000436_zr_c04_q2_match_programid2.pytable,170750,sources,58348.2678472,58348.2719792,281.4244696,-5.2265946,595.563906043701
ztf_000436_zr_c04_q2_match_programid2.pytable,178626,sources,58348.3160648,58348.3179051,281.1879485,-5.3998845,708.3203208081729
ztf_000436_zr_c04_q2_match_programid2.pytable,183400,sources,58347.227037,58347.2293287,280.772787,-5.1154615,307.42305442239194
ztf_000436_zr_c04_q2_match_programid2.pytable,186970,sources,58348.2420718,58348.2439005,281.3213064,-5.0359329,91.29635328586144
ztf_000436_zr_c04_q2_match_programid2.pytable,1054,transients,58347.2251968,58347.227037,281.0732743,-5.0309625,109.81132216712513
ztf_000436_zr_c04_q2_match_programid2.pytable,5816,transients,58347.2904167,58347.2940856,281.3681466,-4.8698861,-175.41064001025524
ztf_000436_zr_c04_q2_match_programid2.pytable,27653,transients,58348.2462037,58348.2554398,280.8757599,-5.4787893,10566.126109611518
